probe,spec,seed,S,revision,device,dtype,truth,realized_q10,realized_q90,pred_median,pred_q10,pred_q90,spread,n_unique
sine,"period 20, amplitude 5",20260802,1000,ad294eaacead15db499b740ea4122266dd2a81a2,cpu,float32,-2.93892626146234,-4.755282402038574,4.755282402038574,-2.9306483268737793,-2.9537243843078613,-2.9306483268737793,0.02307605743408203,5
trend,"slope 0.05, noise 0.3 (deterministic part as truth)",20260802,1000,ad294eaacead15db499b740ea4122266dd2a81a2,cpu,float32,25.6,2.7316725492477416,23.0805326461792,25.480226516723633,25.199193954467773,25.854934692382812,0.6557407379150391,21
t5,iid standard t(5),20260802,1000,ad294eaacead15db499b740ea4122266dd2a81a2,cpu,float32,,-1.6053247809410094,1.4935409069061285,-0.05015424266457558,-0.19345204532146454,0.3510796129703522,0.5445316582918167,50
