forecaster,asset,alpha,erule,group,n,n_alpha,hit_rate,kupiec_stat,kupiec_p_asym,kupiec_p_mc,cc_stat,cc_p_asym,cc_p_mc,dq_p_asym,qs_mean,sigma_tail,prec_floor,fz0_mean,z2,es_viol
chronos_base,brent,0.01,e0,commodity,2641,26.41,0.38356683074592957,5846.131326812707,0.0,9.999000099990002e-05,5846.224118746173,0.0,9.999000099990002e-05,0.0,0.6989591473846332,2.202596410112544,0.4285985786338917,,,
chronos_base,brent,0.025,e0,commodity,2641,66.025,0.39113971980310486,4167.64122348493,0.0,9.999000099990002e-05,4168.989817007733,0.0,9.999000099990002e-05,0.0,0.7185697578959208,2.198905160067699,0.2706152666360475,,,
chronos_base,brent,0.05,e0,commodity,2641,132.05,0.3975766755017039,2904.6600312402475,0.0,9.999000099990002e-05,2906.7117547579387,0.0,9.999000099990002e-05,0.0,0.7408474903214486,2.1954794971959526,0.19105578090428604,,,
chronos_base,brent,0.01,e1,commodity,2641,26.41,0.3381294964028777,4880.615093539867,0.0,9.999000099990002e-05,4880.68612648706,0.0,9.999000099990002e-05,0.0,0.617837708598604,2.2584397763058695,0.4394650211953632,,,36.0
chronos_base,brent,0.025,e1,commodity,2641,66.025,0.35630443014009844,3588.584667885891,0.0,9.999000099990002e-05,3588.7247569611372,0.0,9.999000099990002e-05,0.0,0.6629740264128149,2.243233705682475,0.27607070028047154,,,74.0
chronos_base,brent,0.05,e1,commodity,2641,132.05,0.37485800833017796,2606.9266821701026,0.0,9.999000099990002e-05,2607.6522739641773,0.0,9.999000099990002e-05,0.0,0.7061404978193613,2.2291733731913586,0.19398790110773875,,,128.0
chronos_base,brent,0.01,e2,commodity,2641,26.41,0.26580840590685345,3446.1180870969483,0.0,9.999000099990002e-05,3447.1716015502,0.0,9.999000099990002e-05,0.0,0.49137761880098296,2.2992415867945724,0.4474045592336795,36.75290030821917,52.90444373800162,
chronos_base,brent,0.025,e2,commodity,2641,66.025,0.32109049602423323,3031.6774375065215,0.0,9.999000099990002e-05,3031.692792613396,0.0,9.999000099990002e-05,0.0,0.5934633828339939,2.2555026250692904,0.27758061391908295,28.29123967251437,34.555367393451974,
chronos_base,brent,0.05,e2,commodity,2641,132.05,0.35403256342294587,2344.2218351248207,0.0,9.999000099990002e-05,2344.3463838844705,0.0,9.999000099990002e-05,0.0,0.6702185370474616,2.2368681982335525,0.19465752285061355,69.97414786449741,68.50986658083579,
chronos_base,brent,0.01,e3,commodity,2641,26.41,0.3116243847027641,4339.730961806007,0.0,9.999000099990002e-05,4339.77974200436,0.0,9.999000099990002e-05,0.0,0.5637662265144737,2.205632008332355,0.4291892692735119,69.34674468438182,90.2953961084553,
chronos_base,brent,0.025,e3,commodity,2641,66.025,0.3513820522529345,3508.989103545814,0.0,9.999000099990002e-05,3509.0245971681557,0.0,9.999000099990002e-05,0.0,0.6444649475460023,2.2026783581915934,0.2710796272801132,50.12376998247481,56.830948544649665,
chronos_base,brent,0.05,e3,commodity,2641,132.05,0.3801590306702007,2675.3669975862595,0.0,9.999000099990002e-05,2675.598521522031,0.0,9.999000099990002e-05,0.0,0.7085377241512608,2.195842551678723,0.19108737475784063,,,39.0
moirai_1_1,brent,0.01,e0,commodity,2641,26.41,0.01968951154865581,19.531383524669764,9.896042898975315e-06,9.999000099990002e-05,19.53198517693164,5.736979638761506e-05,9.999000099990002e-05,3.254873897924368e-07,0.11073003848784503,2.88217251265931,0.5608358556438098,,,
moirai_1_1,brent,0.025,e0,commodity,2641,66.025,0.041650889814464215,25.103629521838684,5.433050125668862e-07,9.999000099990002e-05,25.775771130627277,2.5284968421905216e-06,9.999000099990002e-05,1.6324686651019737e-07,0.20209507690683184,2.880968891772024,0.35455561202696056,,,
moirai_1_1,brent,0.05,e0,commodity,2641,132.05,0.07800075728890572,37.515932125751306,9.066932839807441e-10,9.999000099990002e-05,39.5995502165656,2.5180649477159796e-09,9.999000099990002e-05,3.25362382920321e-12,0.31556020109052163,2.7351792723712176,0.23802172257291587,,,
moirai_1_1,brent,0.01,e1,commodity,2641,26.41,0.044680045437334344,173.34485207317937,1.376125341641252e-39,9.999000099990002e-05,173.45001387085574,2.166746206703442e-38,9.999000099990002e-05,2.1941611826284553e-81,0.14407367617395844,3.150782170032297,0.6131040409676553,3.951478596819378,5.432644322118432,
moirai_1_1,brent,0.025,e1,commodity,2641,66.025,0.07004922377887164,148.85311224618226,3.0877939866172824e-34,9.999000099990002e-05,148.93783409775324,4.555753865750748e-33,9.999000099990002e-05,6.4213479001926436e-52,0.22644279426014982,2.8790529194761656,0.35431981679434804,2.819418709192859,2.926977148798459,
moirai_1_1,brent,0.05,e1,commodity,2641,132.05,0.09769026883756153,100.13720112363285,1.4219741244956135e-23,9.999000099990002e-05,102.89876492271082,4.527068851910216e-23,9.999000099990002e-05,1.408808992248649e-32,0.3303069579039917,2.701174669640351,0.23506256219934676,2.2662865047278715,1.757526741342485,
moirai_1_1,brent,0.01,e2,commodity,2641,26.41,0.015903067020068155,7.883002638317123,0.004990155961547945,0.0053994600539946005,12.500536762032425,0.0019299361085023904,0.0010998900109989002,3.1075424837307395e-06,0.1099860631183312,2.7471770617340563,0.5345673762605857,2.5253073217564683,0.7279745765790673,
moirai_1_1,brent,0.025,e2,commodity,2641,66.025,0.03029155622870125,2.84489146209944,0.09166478348841127,0.0922907709229077,3.7650316829631265,0.15220669574078752,0.1867813218678132,0.041865444773493125,0.20008817303488718,3.1227117422261204,0.3843064658250295,2.1412964749137755,0.3511548263389359,
moirai_1_1,brent,0.05,e2,commodity,2641,132.05,0.06209769026883756,7.5815413848063145,0.00589689949192535,0.006899310068993101,7.744673961527951,0.02080968073152973,0.0184981501849815,0.0010454630042320962,0.3092081386392567,2.912184215226923,0.25342510831366505,1.8653226162887722,0.31975616965560905,
moirai_1_1,brent,0.01,e3,commodity,2641,26.41,0.01741764483150322,12.017825078064277,0.0005269415581888062,0.00039996000399960006,13.343140657227195,0.0012664085112292984,0.0008999100089991,0.00011861903867690998,0.10713971989752867,2.7210337981180803,0.5294802138665973,2.368681466699518,0.8766457468180617,
moirai_1_1,brent,0.025,e3,commodity,2641,66.025,0.03748580083301779,14.681195973832018,0.00012731008089593895,0.00039996000399960006,14.838473066029792,0.0005996067507670755,0.0007999200079992001,0.0003047993593066107,0.19963055923226528,2.9956402123119275,0.3686680032964677,2.060487084037011,0.6110047735218949,
moirai_1_1,brent,0.05,e3,commodity,2641,132.05,0.06891329042029534,17.881788333362465,2.3505976377335854e-05,9.999000099990002e-05,19.148109238798952,6.950897900655502e-05,9.999000099990002e-05,2.749063043006683e-05,0.3124140452146911,2.8258646568665893,0.24591337766397786,1.8212277342425407,0.46637448264582804,
chronos_base,gold,0.01,e0,commodity,2639,26.39,0.3724895793861311,5602.1599914826875,0.0,9.999000099990002e-05,5614.077023191421,0.0,9.999000099990002e-05,0.0,0.27523490287011826,0.869243971081788,0.1692084285126735,,,
chronos_base,gold,0.025,e0,commodity,2639,65.97500000000001,0.3793103448275862,3964.9346304341975,0.0,9.999000099990002e-05,3978.77802786483,0.0,9.999000099990002e-05,0.0,0.28354802181622907,0.8691000065497253,0.10699908251349782,,,
chronos_base,gold,0.05,e0,commodity,2639,131.95000000000002,0.3861311102690413,2751.1406024156995,0.0,9.999000099990002e-05,2767.197925088723,0.0,9.999000099990002e-05,0.0,0.2931751092815272,0.8676097059540882,0.0755300382348241,,,
chronos_base,gold,0.01,e1,commodity,2639,26.39,0.31678666161424784,4440.378483944053,0.0,9.999000099990002e-05,4462.692790720317,0.0,9.999000099990002e-05,0.0,0.23794277437338296,0.8923939933839489,0.17371484906213902,,,79.0
chronos_base,gold,0.025,e1,commodity,2639,65.97500000000001,0.3372489579386131,3281.1020218549884,0.0,9.999000099990002e-05,3306.4495965571277,0.0,9.999000099990002e-05,0.0,0.2570707069817954,0.8876435156971388,0.10928206312608671,,,119.0
chronos_base,gold,0.05,e1,commodity,2639,131.95000000000002,0.3550587343690792,2355.149147875479,0.0,9.999000099990002e-05,2374.045655683932,0.0,9.999000099990002e-05,0.0,0.2761282295990483,0.884213676094404,0.0769755021236459,,,155.0
chronos_base,gold,0.01,e2,commodity,2639,26.39,0.25426297840090945,3227.2276607484664,0.0,9.999000099990002e-05,3246.3041460514833,0.0,9.999000099990002e-05,0.0,0.19730454091825095,0.9060900071128323,0.17638093710767155,42.585836635557996,59.68604448016052,
chronos_base,gold,0.025,e2,commodity,2639,65.97500000000001,0.3054187192118227,2791.2819935385705,0.0,9.999000099990002e-05,2811.373465290393,0.0,9.999000099990002e-05,0.0,0.2340684142754131,0.8927506913009219,0.10991083208215834,47.167850004615616,53.92441110503661,
chronos_base,gold,0.05,e2,commodity,2639,131.95000000000002,0.3380068207654415,2147.244514677007,0.0,9.999000099990002e-05,2168.5538066397253,0.0,9.999000099990002e-05,0.0,0.26417871979956375,0.8860135628204748,0.0771321918336682,,,65.0
chronos_base,gold,0.01,e3,commodity,2639,26.39,0.31072375899962107,4318.378924263502,0.0,9.999000099990002e-05,4332.449473267254,0.0,9.999000099990002e-05,0.0,0.2273143329621847,0.8702337955428414,0.16940110933316838,136.4771449531068,160.00569856017808,
chronos_base,gold,0.025,e3,commodity,2639,65.97500000000001,0.34103827207275483,3341.0309204178557,0.0,9.999000099990002e-05,3357.1633265139994,0.0,9.999000099990002e-05,0.0,0.2556668983252294,0.8709541038138053,0.10722734934660363,,,42.0
chronos_base,gold,0.05,e3,commodity,2639,131.95000000000002,0.36566881394467604,2487.9043556018805,0.0,9.999000099990002e-05,2500.4370282958203,0.0,9.999000099990002e-05,0.0,0.28051680114562155,0.8719888687536272,0.07591126764179804,,,78.0
