dgp,path,t,head,support_k,tail_support,tail_nn_gap,bin_gap,n_distinct_sweep
garch_t,0,1030,chronos_bolt,,,,,1
garch_t,0,1030,chronos_2,,,,,34
garch_t,0,1047,chronos_base,50.0,2.0,0.01755949854850769,0.008779734373092651,3
garch_t,0,1047,chronos_bolt,,,,,1
garch_t,0,1047,chronos_2,,,,,34
garch_t,0,1064,chronos_base,50.0,2.0,0.017642050981521606,0.00882101058959961,3
garch_t,0,1064,chronos_bolt,,,,,1
garch_t,0,1064,chronos_2,,,,,34
garch_t,0,1080,chronos_base,50.0,2.0,0.008976727724075317,0.008976668119430542,3
garch_t,0,1080,chronos_bolt,,,,,1
garch_t,0,1080,chronos_2,,,,,34
garch_t,0,1097,chronos_base,50.0,2.0,0.009303927421569824,0.009303897619247437,3
garch_t,0,1097,chronos_bolt,,,,,1
garch_t,0,1097,chronos_2,,,,,34
garch_t,0,1114,chronos_base,50.0,2.0,0.010001987218856812,0.010001987218856812,3
garch_t,0,1114,chronos_bolt,,,,,1
garch_t,0,1114,chronos_2,,,,,34
garch_t,0,1130,chronos_base,50.0,2.0,0.02076321840286255,0.010381579399108887,3
garch_t,0,1130,chronos_bolt,,,,,1
garch_t,0,1130,chronos_2,,,,,34
garch_t,0,1147,chronos_base,50.0,2.0,0.2867673635482788,0.011029481887817383,3
garch_t,0,1147,chronos_bolt,,,,,1
garch_t,0,1147,chronos_2,,,,,34
garch_t,0,1164,chronos_base,50.0,2.0,0.31471628323197365,0.011239826679229736,3
garch_t,0,1164,chronos_bolt,,,,,1
garch_t,0,1164,chronos_2,,,,,34
garch_t,0,1181,chronos_base,50.0,3.0,0.01217108964920044,0.012170910835266113,3
garch_t,0,1181,chronos_bolt,,,,,1
garch_t,0,1181,chronos_2,,,,,34
garch_t,0,1197,chronos_base,50.0,2.0,0.04033935070037842,0.013446390628814697,3
garch_t,0,1197,chronos_bolt,,,,,1
garch_t,0,1197,chronos_2,,,,,34
garch_t,0,1214,chronos_base,50.0,2.0,0.014045536518096924,0.014045417308807373,3
garch_t,0,1214,chronos_bolt,,,,,1
garch_t,0,1214,chronos_2,,,,,34
garch_t,0,1231,chronos_base,50.0,3.0,0.04344898462295532,0.014482975006103516,3
garch_t,0,1231,chronos_bolt,,,,,1
garch_t,0,1231,chronos_2,,,,,34
garch_t,0,1248,chronos_base,50.0,2.0,0.05853128433227539,0.014632821083068848,3
garch_t,0,1248,chronos_bolt,,,,,1
garch_t,0,1248,chronos_2,,,,,34
garch_t,0,1264,chronos_base,50.0,2.0,0.029729247093200684,0.014864563941955566,3
garch_t,0,1264,chronos_bolt,,,,,1
garch_t,0,1264,chronos_2,,,,,34
garch_t,0,1281,chronos_base,50.0,2.0,0.02986997365951538,0.014934957027435303,3
garch_t,0,1281,chronos_bolt,,,,,1
garch_t,0,1281,chronos_2,,,,,34
garch_t,0,1298,chronos_base,50.0,2.0,0.07606309652328491,0.015212595462799072,3
garch_t,0,1298,chronos_bolt,,,,,1
garch_t,0,1298,chronos_2,,,,,34
garch_t,0,1314,chronos_base,50.0,2.0,0.10744675993919373,0.015349507331848145,3
garch_t,0,1314,chronos_bolt,,,,,1
garch_t,0,1314,chronos_2,,,,,34
garch_t,0,1331,chronos_base,50.0,2.0,0.0155339315533638,0.015533864498138428,3
garch_t,0,1331,chronos_bolt,,,,,1
garch_t,0,1331,chronos_2,,,,,34
garch_t,0,1348,chronos_base,50.0,2.0,0.015595048666000366,0.015595018863677979,3
garch_t,0,1348,chronos_bolt,,,,,1
garch_t,0,1348,chronos_2,,,,,34
garch_t,0,1365,chronos_base,50.0,3.0,0.015708237886428833,0.01570814847946167,3
garch_t,0,1365,chronos_bolt,,,,,1
garch_t,0,1365,chronos_2,,,,,34
garch_t,0,1381,chronos_base,50.0,2.0,0.015926361083984375,0.0159263014793396,3
garch_t,0,1381,chronos_bolt,,,,,1
garch_t,0,1381,chronos_2,,,,,34
garch_t,0,1398,chronos_base,50.0,2.0,0.03238946199417114,0.016194701194763184,3
garch_t,0,1398,chronos_bolt,,,,,1
garch_t,0,1398,chronos_2,,,,,34
garch_t,0,1415,chronos_base,50.0,2.0,0.049657464027404785,0.016552448272705078,3
garch_t,0,1415,chronos_bolt,,,,,1
garch_t,0,1415,chronos_2,,,,,34
garch_t,0,1432,chronos_base,50.0,2.0,0.01687026023864746,0.016870200634002686,3
garch_t,0,1432,chronos_bolt,,,,,1
garch_t,0,1432,chronos_2,,,,,34
garch_t,0,1448,chronos_base,50.0,2.0,0.01695162057876587,0.016951560974121094,3
garch_t,0,1448,chronos_bolt,,,,,1
garch_t,0,1448,chronos_2,,,,,34
garch_t,0,1465,chronos_base,50.0,2.0,0.03413492441177368,0.017067432403564453,3
garch_t,0,1465,chronos_bolt,,,,,1
garch_t,0,1465,chronos_2,,,,,34
garch_t,0,1482,chronos_base,50.0,2.0,0.03436177968978882,0.01718086004257202,3
garch_t,0,1482,chronos_bolt,,,,,1
garch_t,0,1482,chronos_2,,,,,34
garch_t,0,1499,chronos_base,50.0,2.0,0.017362356185913086,0.01736229658126831,3
garch_t,0,1499,chronos_bolt,,,,,1
garch_t,0,1499,chronos_2,,,,,34
garch_t,1,512,chronos_base,50.0,2.0,0.009472310543060303,0.009472280740737915,3
garch_t,1,512,chronos_bolt,,,,,1
garch_t,1,512,chronos_2,,,,,34
garch_t,1,528,chronos_base,50.0,2.0,0.009378790855407715,0.009378761053085327,3
garch_t,1,528,chronos_bolt,,,,,1
garch_t,1,528,chronos_2,,,,,34
garch_t,1,545,chronos_base,50.0,2.0,0.009219616651535034,0.009219586849212646,3
garch_t,1,545,chronos_bolt,,,,,1
garch_t,1,545,chronos_2,,,,,34
garch_t,1,562,chronos_base,50.0,2.0,0.017987817525863647,0.00899389386177063,3
garch_t,1,562,chronos_bolt,,,,,1
garch_t,1,562,chronos_2,,,,,34
garch_t,1,578,chronos_base,50.0,2.0,0.017776668071746826,0.008888304233551025,3
garch_t,1,578,chronos_bolt,,,,,1
garch_t,1,578,chronos_2,,,,,34
garch_t,1,595,chronos_base,50.0,2.0,0.00865083932876587,0.008650809526443481,3
garch_t,1,595,chronos_bolt,,,,,1
garch_t,1,595,chronos_2,,,,,34
garch_t,1,612,chronos_base,50.0,2.0,0.0173855721950531,0.008692771196365356,3
garch_t,1,612,chronos_bolt,,,,,1
garch_t,1,612,chronos_2,,,,,34
