"cell_id","forecaster","erule","asset","alpha","n","esr_p","esback_version"
"timesfm_2_5.e3.aapl.a05","timesfm_2_5","e3","aapl",0.05,2639,0.22865838737866,"0.3.1"
"moirai_2_0.e1.aapl.a05","moirai_2_0","e1","aapl",0.05,2639,1.39586409098058e-09,"0.3.1"
"moirai_2_0.e2.aapl.a05","moirai_2_0","e2","aapl",0.05,2639,0.0525205098886895,"0.3.1"
"moirai_2_0.e3.aapl.a05","moirai_2_0","e3","aapl",0.05,2639,0.825424137927528,"0.3.1"
"lag_llama.e1.aapl.a05","lag_llama","e1","aapl",0.05,2639,0,"0.3.1"
"lag_llama.e2.aapl.a05","lag_llama","e2","aapl",0.05,2639,0.000268303494807665,"0.3.1"
"lag_llama.e3.aapl.a05","lag_llama","e3","aapl",0.05,2639,1.46975413617412e-07,"0.3.1"
"garch_t.param.aapl.a05","garch_t","param","aapl",0.05,2639,0.520649934726925,"0.3.1"
"gjr_t.param.aapl.a05","gjr_t","param","aapl",0.05,2639,0.409338509368265,"0.3.1"
"ewma94.param.aapl.a05","ewma94","param","aapl",0.05,2639,0.00155006386831757,"0.3.1"
"hs250.param.aapl.a05","hs250","param","aapl",0.05,2639,0.000256828662074993,"0.3.1"
"hs500.param.aapl.a05","hs500","param","aapl",0.05,2639,0.0084363186545704,"0.3.1"
"fhs.param.aapl.a05","fhs","param","aapl",0.05,2639,0.207504960413882,"0.3.1"
"chronos_bolt.e1.amzn.a01","chronos_bolt","e1","amzn",0.01,2639,3.62729524194805e-09,"0.3.1"
"chronos_bolt.e2.amzn.a01","chronos_bolt","e2","amzn",0.01,2639,0.0370648980691497,"0.3.1"
"chronos_bolt.e3.amzn.a01","chronos_bolt","e3","amzn",0.01,2639,0.130992278472709,"0.3.1"
"chronos_2.e1.amzn.a01","chronos_2","e1","amzn",0.01,2639,6.21529738786819e-09,"0.3.1"
"chronos_2.e2.amzn.a01","chronos_2","e2","amzn",0.01,2639,0.0275844361472339,"0.3.1"
"chronos_2.e3.amzn.a01","chronos_2","e3","amzn",0.01,2639,0.0206729307638734,"0.3.1"
"timesfm_2_5.e1.amzn.a01","timesfm_2_5","e1","amzn",0.01,2639,8.19411205554843e-12,"0.3.1"
"timesfm_2_5.e2.amzn.a01","timesfm_2_5","e2","amzn",0.01,2639,0.00481432354959721,"0.3.1"
"timesfm_2_5.e3.amzn.a01","timesfm_2_5","e3","amzn",0.01,2639,0.284702203678614,"0.3.1"
"moirai_2_0.e1.amzn.a01","moirai_2_0","e1","amzn",0.01,2639,7.32327209540529e-07,"0.3.1"
"moirai_2_0.e2.amzn.a01","moirai_2_0","e2","amzn",0.01,2639,0.000104564126638285,"0.3.1"
"moirai_2_0.e3.amzn.a01","moirai_2_0","e3","amzn",0.01,2639,0.466852786421008,"0.3.1"
"lag_llama.e1.amzn.a01","lag_llama","e1","amzn",0.01,2639,0,"0.3.1"
"lag_llama.e2.amzn.a01","lag_llama","e2","amzn",0.01,2639,0.0352978670244826,"0.3.1"
"lag_llama.e3.amzn.a01","lag_llama","e3","amzn",0.01,2639,0.0102138001707146,"0.3.1"
"garch_t.param.amzn.a01","garch_t","param","amzn",0.01,2639,0.66601843636542,"0.3.1"
"gjr_t.param.amzn.a01","gjr_t","param","amzn",0.01,2639,0.723674875497949,"0.3.1"
"ewma94.param.amzn.a01","ewma94","param","amzn",0.01,2639,0.000246788086007088,"0.3.1"
"hs250.param.amzn.a01","hs250","param","amzn",0.01,2639,0.00812698471703932,"0.3.1"
"hs500.param.amzn.a01","hs500","param","amzn",0.01,2639,0.109604733982998,"0.3.1"
"fhs.param.amzn.a01","fhs","param","amzn",0.01,2639,0.0929683992344783,"0.3.1"
"chronos_bolt.e1.amzn.a025","chronos_bolt","e1","amzn",0.025,2639,1.11022302462516e-16,"0.3.1"
