episode,layer,alpha,t,daily_rate,trail21,trail10,band21,band10,disp_lo21,disp_hi21
vix_ep14,chronos_bolt:e3,0.025,53,0.0,0.0083,0.0043,0.04197,0.04845,0.0021,0.0145
vix_ep14,chronos_bolt:e3,0.025,54,0.0435,0.0104,0.0087,0.04197,0.04845,0.0041,0.0166
vix_ep14,chronos_bolt:e3,0.025,55,0.0,0.0104,0.0043,0.04197,0.04845,0.0041,0.0166
vix_ep14,chronos_bolt:e3,0.025,56,0.0,0.0104,0.0043,0.04197,0.04845,0.0041,0.0166
vix_ep14,chronos_bolt:e3,0.025,57,0.0435,0.0104,0.0087,0.04197,0.04845,0.0041,0.0186
vix_ep14,chronos_bolt:e3,0.025,58,0.0,0.0104,0.0087,0.04197,0.04845,0.0041,0.0166
vix_ep14,chronos_bolt:e3,0.025,59,0.0,0.0104,0.0087,0.04197,0.04845,0.0041,0.0166
vix_ep14,chronos_bolt:e3,0.025,60,0.0,0.0104,0.0087,0.04197,0.04845,0.0041,0.0166
vix_ep14,chronos_bolt:e3,0.05,1,0.3043,,,0.0772,0.09197,,
vix_ep14,chronos_bolt:e3,0.05,2,0.1304,,,0.0772,0.09197,,
vix_ep14,chronos_bolt:e3,0.05,3,0.1739,,,0.0772,0.09197,,
vix_ep14,chronos_bolt:e3,0.05,4,0.1739,,,0.0772,0.09197,,
vix_ep14,chronos_bolt:e3,0.05,5,0.0435,,,0.0772,0.09197,,
vix_ep14,chronos_bolt:e3,0.05,6,0.1739,,,0.0772,0.09197,,
vix_ep14,chronos_bolt:e3,0.05,7,0.0435,,,0.0772,0.09197,,
vix_ep14,chronos_bolt:e3,0.05,8,0.1304,,,0.0772,0.09197,,
vix_ep14,chronos_bolt:e3,0.05,9,0.0435,,,0.0772,0.09197,,
vix_ep14,chronos_bolt:e3,0.05,10,0.087,,0.1304,0.0772,0.09197,,
vix_ep14,chronos_bolt:e3,0.05,11,0.0435,,0.1043,0.0772,0.09197,,
vix_ep14,chronos_bolt:e3,0.05,12,0.3478,,0.1261,0.0772,0.09197,,
vix_ep14,chronos_bolt:e3,0.05,13,0.087,,0.1174,0.0772,0.09197,,
vix_ep14,chronos_bolt:e3,0.05,14,0.0435,,0.1043,0.0772,0.09197,,
vix_ep14,chronos_bolt:e3,0.05,15,0.3913,,0.1391,0.0772,0.09197,,
vix_ep14,chronos_bolt:e3,0.05,16,0.087,,0.1304,0.0772,0.09197,,
vix_ep14,chronos_bolt:e3,0.05,17,0.2609,,0.1522,0.0772,0.09197,,
vix_ep14,chronos_bolt:e3,0.05,18,0.0435,,0.1435,0.0772,0.09197,,
vix_ep14,chronos_bolt:e3,0.05,19,0.087,,0.1478,0.0772,0.09197,,
vix_ep14,chronos_bolt:e3,0.05,20,0.1304,,0.1522,0.0772,0.09197,,
vix_ep14,chronos_bolt:e3,0.05,21,0.0435,0.1366,0.1522,0.0772,0.09197,0.1014,0.176
vix_ep14,chronos_bolt:e3,0.05,22,0.0,0.1222,0.1174,0.0772,0.09197,0.091,0.1594
vix_ep14,chronos_bolt:e3,0.05,23,0.0435,0.118,0.113,0.0772,0.09197,0.0828,0.1573
vix_ep14,chronos_bolt:e3,0.05,24,0.0435,0.1118,0.113,0.0772,0.09197,0.0766,0.1512
vix_ep14,chronos_bolt:e3,0.05,25,0.0435,0.1056,0.0783,0.0772,0.09197,0.0724,0.1449
vix_ep14,chronos_bolt:e3,0.05,26,0.087,0.1077,0.0783,0.0772,0.09197,0.0745,0.1471
vix_ep14,chronos_bolt:e3,0.05,27,0.0,0.0994,0.0522,0.0772,0.09197,0.0663,0.1387
vix_ep14,chronos_bolt:e3,0.05,28,0.0,0.0973,0.0478,0.0772,0.09197,0.0621,0.1366
vix_ep14,chronos_bolt:e3,0.05,29,0.0435,0.0932,0.0435,0.0772,0.09197,0.058,0.1346
vix_ep14,chronos_bolt:e3,0.05,30,0.0,0.0911,0.0304,0.0772,0.09197,0.0559,0.1325
vix_ep14,chronos_bolt:e3,0.05,31,0.0435,0.089,0.0304,0.0772,0.09197,0.0538,0.1284
vix_ep14,chronos_bolt:e3,0.05,32,0.0435,0.089,0.0348,0.0772,0.09197,0.0538,0.1284
vix_ep14,chronos_bolt:e3,0.05,33,0.0,0.0725,0.0304,0.0772,0.09197,0.0414,0.1077
vix_ep14,chronos_bolt:e3,0.05,34,0.0,0.0683,0.0261,0.0772,0.09197,0.0373,0.1056
vix_ep14,chronos_bolt:e3,0.05,35,0.0,0.0663,0.0217,0.0772,0.09197,0.0352,0.1056
vix_ep14,chronos_bolt:e3,0.05,36,0.087,0.0518,0.0217,0.0772,0.09197,0.0331,0.0745
vix_ep14,chronos_bolt:e3,0.05,37,0.0,0.0476,0.0217,0.0772,0.09197,0.029,0.0725
vix_ep14,chronos_bolt:e3,0.05,38,0.0,0.0352,0.0217,0.0772,0.09197,0.0228,0.0476
vix_ep14,chronos_bolt:e3,0.05,39,0.0,0.0331,0.0174,0.0772,0.09197,0.0207,0.0476
