episode,index,onset,layer,alpha,window,n_assets,n_calm_days,band,mde_mult,dep_uncalibrated,direction_only,descriptive_only,tau_rec,ever_above,censored,onset_rate,post_cutoff
vix_ep14,vix,2016-01-15,fhs,0.01,10,23,345,0.02336,2.34,False,False,True,,False,False,0.043,False
vix_ep15,vix,2018-02-05,chronos_bolt:e3,0.025,21,24,252,0.04127,1.65,False,False,False,55.0,True,False,0.583,False
vix_ep15,vix,2018-02-05,chronos_bolt:e3,0.025,10,24,252,0.04956,1.98,False,True,False,14.0,True,False,0.583,False
vix_ep15,vix,2018-02-05,chronos_bolt:e3,0.05,21,24,252,0.07788,1.56,False,False,False,57.0,True,False,0.667,False
vix_ep15,vix,2018-02-05,chronos_bolt:e3,0.05,10,24,252,0.09222,1.84,False,False,False,14.0,True,False,0.667,False
vix_ep15,vix,2018-02-05,chronos_bolt:e3,0.01,21,24,252,0.01947,1.95,False,False,True,25.0,True,False,0.417,False
vix_ep15,vix,2018-02-05,chronos_bolt:e3,0.01,10,24,252,0.02457,2.46,False,False,True,14.0,True,False,0.417,False
vix_ep15,vix,2018-02-05,chronos_2:e3,0.025,21,24,252,0.04058,1.62,False,False,False,23.0,True,False,0.542,False
vix_ep15,vix,2018-02-05,chronos_2:e3,0.025,10,24,252,0.04727,1.89,False,True,False,14.0,True,False,0.542,False
vix_ep15,vix,2018-02-05,chronos_2:e3,0.05,21,24,252,0.07507,1.5,False,False,False,23.0,True,False,0.625,False
vix_ep15,vix,2018-02-05,chronos_2:e3,0.05,10,24,252,0.08555,1.71,False,False,False,13.0,True,False,0.625,False
vix_ep15,vix,2018-02-05,chronos_2:e3,0.01,21,24,252,0.01832,1.83,False,False,True,23.0,True,False,0.375,False
vix_ep15,vix,2018-02-05,chronos_2:e3,0.01,10,24,252,0.02165,2.16,False,False,True,14.0,True,False,0.375,False
vix_ep15,vix,2018-02-05,timesfm_2_5:e3,0.025,21,24,252,0.04031,1.61,False,False,False,25.0,True,False,0.583,False
vix_ep15,vix,2018-02-05,timesfm_2_5:e3,0.025,10,24,252,0.04498,1.8,False,True,False,14.0,True,False,0.583,False
vix_ep15,vix,2018-02-05,timesfm_2_5:e3,0.05,21,24,252,0.07036,1.41,False,False,False,60.0,True,False,0.583,False
vix_ep15,vix,2018-02-05,timesfm_2_5:e3,0.05,10,24,252,0.0813,1.63,False,False,False,14.0,True,False,0.583,False
vix_ep15,vix,2018-02-05,timesfm_2_5:e3,0.01,21,24,252,0.01989,1.99,False,False,True,25.0,True,False,0.417,False
vix_ep15,vix,2018-02-05,timesfm_2_5:e3,0.01,10,24,252,0.02406,2.41,False,False,True,14.0,True,False,0.417,False
vix_ep15,vix,2018-02-05,moirai_2_0:e3,0.025,21,24,252,0.03811,1.52,False,False,False,25.0,True,False,0.583,False
vix_ep15,vix,2018-02-05,moirai_2_0:e3,0.025,10,24,252,0.04667,1.87,False,True,False,14.0,True,False,0.583,False
vix_ep15,vix,2018-02-05,moirai_2_0:e3,0.05,21,24,252,0.07269,1.45,False,False,False,25.0,True,False,0.583,False
vix_ep15,vix,2018-02-05,moirai_2_0:e3,0.05,10,24,252,0.08148,1.63,False,False,False,14.0,True,False,0.583,False
vix_ep15,vix,2018-02-05,moirai_2_0:e3,0.01,21,24,252,0.01897,1.9,False,False,True,24.0,True,False,0.417,False
vix_ep15,vix,2018-02-05,moirai_2_0:e3,0.01,10,24,252,0.02297,2.3,False,False,True,14.0,True,False,0.417,False
vix_ep15,vix,2018-02-05,lag_llama:e3,0.025,21,24,252,0.04006,1.6,False,False,False,61.0,True,True,0.458,False
vix_ep15,vix,2018-02-05,lag_llama:e3,0.025,10,24,252,0.04973,1.99,False,True,False,14.0,True,False,0.458,False
vix_ep15,vix,2018-02-05,lag_llama:e3,0.05,21,24,252,0.0764,1.53,False,False,False,61.0,True,True,0.625,False
vix_ep15,vix,2018-02-05,lag_llama:e3,0.05,10,24,252,0.08795,1.76,False,False,False,14.0,True,False,0.625,False
vix_ep15,vix,2018-02-05,lag_llama:e3,0.01,21,24,252,0.01932,1.93,False,False,True,25.0,True,False,0.333,False
vix_ep15,vix,2018-02-05,lag_llama:e3,0.01,10,24,252,0.02225,2.22,False,False,True,14.0,True,False,0.333,False
vix_ep15,vix,2018-02-05,gjr_t,0.025,21,24,252,0.04201,1.68,False,False,False,22.0,True,False,0.5,False
vix_ep15,vix,2018-02-05,gjr_t,0.025,10,24,252,0.0532,2.13,False,True,False,12.0,True,False,0.5,False
vix_ep15,vix,2018-02-05,gjr_t,0.05,21,24,252,0.07595,1.52,False,False,False,23.0,True,False,0.542,False
vix_ep15,vix,2018-02-05,gjr_t,0.05,10,24,252,0.0862,1.72,False,False,False,13.0,True,False,0.542,False
vix_ep15,vix,2018-02-05,gjr_t,0.01,21,24,252,0.0189,1.89,False,False,True,22.0,True,False,0.375,False
vix_ep15,vix,2018-02-05,gjr_t,0.01,10,24,252,0.02446,2.45,False,False,True,12.0,True,False,0.375,False
vix_ep15,vix,2018-02-05,fhs,0.025,21,24,252,0.04036,1.61,False,False,False,22.0,True,False,0.5,False
vix_ep15,vix,2018-02-05,fhs,0.025,10,24,252,0.0497,1.99,False,True,False,13.0,True,False,0.5,False
vix_ep15,vix,2018-02-05,fhs,0.05,21,24,252,0.0746,1.49,False,False,False,22.0,True,False,0.625,False
vix_ep15,vix,2018-02-05,fhs,0.05,10,24,252,0.08503,1.7,False,False,False,12.0,True,False,0.625,False
vix_ep15,vix,2018-02-05,fhs,0.01,21,24,252,0.01945,1.94,False,False,True,22.0,True,False,0.417,False
