layer,asset,stratum,n,hit_rate,uc_p_mc,uc_pass,fz0_mean
timesfm_2_5:e3,audusd,Q1,684,0.04678362573099415,0.7179282071792821,True,0.0718981656239557
timesfm_2_5:e3,audusd,Q2,683,0.05856515373352855,0.33756624337566243,True,0.42322769090184675
timesfm_2_5:e3,audusd,Q3,683,0.060029282576866766,0.2606739326067393,True,0.28883044566124855
timesfm_2_5:e3,audusd,Q4,684,0.05847953216374269,0.33266673332666735,True,0.4851307350482145
timesfm_2_5:e3,brent,Q1,660,0.05303030303030303,0.7902209779022098,True,1.38553902433936
timesfm_2_5:e3,brent,Q2,660,0.045454545454545456,0.5998400159984002,True,1.5245274028294733
timesfm_2_5:e3,brent,Q3,660,0.06363636363636363,0.126987301269873,True,1.7613192081447633
timesfm_2_5:e3,brent,Q4,661,0.07866868381240545,0.0026997300269973002,False,2.368129098548025
timesfm_2_5:e3,btc,Q1,827,0.053204353083434096,0.6868313168683132,True,1.7409089676770986
timesfm_2_5:e3,btc,Q2,827,0.05441354292623942,0.571942805719428,True,1.8957795771861543
timesfm_2_5:e3,btc,Q3,827,0.053204353083434096,0.6868313168683132,True,2.1639017617996927
timesfm_2_5:e3,btc,Q4,827,0.07013301088270858,0.0136986301369863,False,2.351311435407936
timesfm_2_5:e3,copper,Q1,660,0.024242424242424242,0.000999900009999,False,0.960880169775148
timesfm_2_5:e3,copper,Q2,660,0.048484848484848485,0.8639136086391361,True,1.1069463127619974
timesfm_2_5:e3,copper,Q3,660,0.04242424242424243,0.37936206379362064,True,1.2261973686117158
timesfm_2_5:e3,copper,Q4,660,0.08181818181818182,0.0004999500049995,False,1.6816604625773124
timesfm_2_5:e3,csi300,Q1,545,0.044036697247706424,0.557044295570443,True,0.9006009766321333
timesfm_2_5:e3,csi300,Q2,545,0.04036697247706422,0.32926707329267074,True,1.0489029648786432
timesfm_2_5:e3,csi300,Q3,545,0.05321100917431193,0.7674232576742326,True,1.2913421445090314
