head,n_assets,n_scale_gt_loc,scale_mean,scale_lo,scale_hi,loc_mean,loc_lo,loc_hi,scale_cr1_se,scale_t,scale_t5_lo,scale_t5_hi,scale_wcr_p,loc_cr1_se,loc_t,loc_t5_lo,loc_t5_hi,loc_wcr_p
chronos_2,32,22,0.026599253935516338,-0.002064417907179747,0.054786631247481274,0.0038147468544118164,-0.00403893397461718,0.01306635941265742,0.016309155096194843,1.6309400320634833,-0.015324763925294835,0.06852327179632751,0.1875,0.0046880867909761485,0.8137108002681652,-0.008236363898944951,0.015865857607768583,0.4375
moirai_2_0,32,24,0.04827699386575181,0.010617994008453417,0.07516421563324634,0.003983817360214456,-0.0012732049025567932,0.009568301293584568,0.01725362961603228,2.7980775604973136,0.003925126959101084,0.09262886077240254,0.125,0.0028797179672212453,1.3834053909309043,-0.003418733340897597,0.011386368061326509,0.21875
lag_llama,32,30,0.1520295139685223,0.12391721717902607,0.17891933542605468,0.009006083917428588,0.0011829080199073545,0.01770195917355294,0.0156594562498344,9.708479754533625,0.11177560016143483,0.19228342777560975,0.03125,0.004569503419873087,1.9709108605238166,-0.002740198576046104,0.020752366410903278,0.125
chronos_bolt,32,22,0.03422551539604364,0.0027909966925710322,0.05792337149033271,0.00272239327895806,-0.002583484624616893,0.007985445609029862,0.01470161541310742,2.3280105236278614,-0.0035661901537855922,0.07201722094587287,0.15625,0.002990355213581203,0.9103912694364372,-0.004964559518099971,0.010409346076016091,0.4375
timesfm_2_5,32,21,0.052491119901919125,0.01190028299186114,0.0834904221809073,0.0028385095401471747,-0.006883917533286676,0.01337096203336772,0.019456545055960256,2.6978643819314243,0.0024764785777913814,0.10250576122604688,0.125,0.005387178814955403,0.5269009323149176,-0.0110096744721729,0.016686693552467248,0.625
