forecaster,asset,erule,alpha,n_full,hit_full,ucp_full,pass_full,n_matched,hit_matched,ucp_matched,pass_matched
chronos_2,btc,e0,0.01,3796,0.012908324552160169,0.08789121087891211,True,3308,0.012696493349455865,0.13488651134886512,True
chronos_2,btc,e0,0.025,3796,0.020021074815595362,0.043495650434956505,False,3308,0.019649334945586457,0.0438956104389561,False
chronos_2,btc,e0,0.05,3796,0.05400421496311907,0.2645735426457354,True,3308,0.05380894800483676,0.3381661833816618,True
chronos_2,btc,e1,0.01,3796,0.05795574288724974,9.999000099990002e-05,False,3308,0.0562273276904474,9.999000099990002e-05,False
chronos_2,btc,e1,0.025,3796,0.08113804004214963,9.999000099990002e-05,False,3308,0.07859733978234583,9.999000099990002e-05,False
chronos_2,btc,e1,0.05,3796,0.10458377239199157,9.999000099990002e-05,False,3308,0.10368802902055622,9.999000099990002e-05,False
chronos_2,btc,e2,0.01,3796,0.011591148577449948,0.37816218378162186,True,3308,0.011487303506650543,0.43215678432156784,True
chronos_2,btc,e2,0.025,3796,0.0345100105374078,0.0004999500049995,False,3308,0.034461910519951636,0.0010998900109989002,False
chronos_2,btc,e2,0.05,3796,0.0642781875658588,0.00029997000299970003,False,3308,0.06348246674727932,0.0010998900109989002,False
chronos_2,btc,e3,0.01,3796,0.01238145416227608,0.1658834116588341,True,3308,0.013301088270858524,0.07879212078792121,True
chronos_2,btc,e3,0.025,3796,0.0273972602739726,0.3735626437356264,True,3308,0.0281136638452237,0.26887311268873115,True
chronos_2,btc,e3,0.05,3796,0.052950474183350894,0.41215878412158785,True,3308,0.05259975816203144,0.49435056494350565,True
chronos_bolt,btc,e0,0.01,3796,0.12197049525816649,9.999000099990002e-05,False,3308,0.12454655380894801,9.999000099990002e-05,False
chronos_bolt,btc,e0,0.025,3796,0.12197049525816649,9.999000099990002e-05,False,3308,0.12454655380894801,9.999000099990002e-05,False
chronos_bolt,btc,e0,0.05,3796,0.12197049525816649,9.999000099990002e-05,False,3308,0.12454655380894801,9.999000099990002e-05,False
chronos_bolt,btc,e1,0.01,3796,0.04899894625922023,9.999000099990002e-05,False,3308,0.0471584038694075,9.999000099990002e-05,False
chronos_bolt,btc,e1,0.025,3796,0.06981032665964172,9.999000099990002e-05,False,3308,0.06862152357920194,9.999000099990002e-05,False
chronos_bolt,btc,e1,0.05,3796,0.08904109589041095,9.999000099990002e-05,False,3308,0.08857315598548972,9.999000099990002e-05,False
chronos_bolt,btc,e2,0.01,3796,0.01053740779768177,0.7449255074492551,True,3308,0.010882708585247884,0.6627337266273373,True
chronos_bolt,btc,e2,0.025,3796,0.03029504741833509,0.0481951804819518,False,3308,0.02871825876662636,0.17868213178682132,True
chronos_bolt,btc,e2,0.05,3796,0.05663856691253952,0.06879312068793121,True,3308,0.0562273276904474,0.1100889911008899,True
chronos_bolt,btc,e3,0.01,3796,0.0160695468914647,0.0004999500049995,False,3308,0.016928657799274487,0.0004999500049995,False
chronos_bolt,btc,e3,0.025,3796,0.0368809272918862,9.999000099990002e-05,False,3308,0.035973397823458285,0.00019998000199980003,False
chronos_bolt,btc,e3,0.05,3796,0.06770284510010538,9.999000099990002e-05,False,3308,0.06771463119709795,9.999000099990002e-05,False
lag_llama,btc,e0,0.01,3796,0.0410958904109589,9.999000099990002e-05,False,3308,0.04201934703748488,9.999000099990002e-05,False
