forecaster,asset,alpha,erule,group,n,n_alpha,hit_rate,kupiec_stat,kupiec_p_asym,kupiec_p_mc,cc_stat,cc_p_asym,cc_p_mc,dq_p_asym,qs_mean,sigma_tail,prec_floor,fz0_mean,z2,es_viol
chronos_bolt,aapl,0.01,e0,equity_single,2639,26.39,0.12769988632057597,1134.0091256719775,1.3405925485371305e-248,9.999000099990002e-05,1143.0245795627773,6.242610062218707e-249,9.999000099990002e-05,0.0,0.17019990516949332,1.331238859527344,0.2591410960438298,,,
chronos_bolt,aapl,0.025,e0,equity_single,2639,65.97500000000001,0.12769988632057597,586.7206140789476,1.2948657760375047e-129,9.999000099990002e-05,595.7360679697474,4.3406673533849324e-130,9.999000099990002e-05,2.382632947931402e-251,0.1961766997226542,1.331238859527344,0.16389521977019025,,,
chronos_bolt,aapl,0.05,e0,equity_single,2639,131.95000000000002,0.12769988632057597,239.1305537821563,6.0853423028844e-54,9.999000099990002e-05,248.1460076729561,1.305506626791446e-54,9.999000099990002e-05,4.6451725516542665e-74,0.23947135731125568,1.331238859527344,0.11589142130356103,,,
chronos_bolt,aapl,0.01,e1,equity_single,2639,26.39,0.045471769609700646,179.65642713467878,5.760187222126033e-41,9.999000099990002e-05,180.8058366073774,5.476605178788722e-40,9.999000099990002e-05,2.0336432266157432e-76,0.08543114127182794,1.3196454248048783,0.2568842994070797,2.848776768802627,4.786212225335274,
chronos_bolt,aapl,0.025,e1,equity_single,2639,65.97500000000001,0.06479727169382342,120.01301226156056,6.28470835885061e-28,9.999000099990002e-05,121.45702531783786,4.226122271470743e-27,9.999000099990002e-05,3.6301462714793793e-40,0.1427897420403375,1.339815961360657,0.16495118803606648,2.0336216688613185,2.350637991430289,
chronos_bolt,aapl,0.05,e1,equity_single,2639,131.95000000000002,0.09321712769988633,83.63981387103354,5.936535022946854e-20,9.999000099990002e-05,86.09330493932816,2.0187213122198884e-19,9.999000099990002e-05,4.928274051034768e-24,0.21678785045754398,1.3289525642163145,0.11569238713984306,1.595603615945209,1.4004996027810388,
chronos_bolt,aapl,0.01,e2,equity_single,2639,26.39,0.013262599469496022,2.5738097185353013,0.10864579682984397,0.11358864113588642,3.0535171758058937,0.21723868742088667,0.1581841815818418,0.22410730216689725,0.06365047814135888,1.2212670877503966,0.23773381419639456,1.8556872483213742,0.2500470123448828,
chronos_bolt,aapl,0.025,e2,equity_single,2639,65.97500000000001,0.031072375899962108,3.710724632265169,0.05406391497439863,0.0633936606339366,5.701523140485733,0.057800285131625544,0.05579442055794421,0.008578511747252854,0.12699096132479118,1.277564173427499,0.1572870709684392,1.5977467541536643,0.22391718751442102,
chronos_bolt,aapl,0.05,e2,equity_single,2639,131.95000000000002,0.06138688897309587,6.737773268454021,0.00943923729968385,0.011398860113988602,8.425530518424694,0.014805370991539545,0.015898410158984102,0.000828489269341914,0.20665374077169227,1.3250508358237918,0.1153527209366566,1.3745564812208062,0.2126243754562711,
chronos_bolt,aapl,0.01,e3,equity_single,2639,26.39,0.01667298219022357,9.88496033082987,0.0016663512333324497,0.0015998400159984002,9.974841033439702,0.006823242251019529,0.0033996600339966003,0.008015172799352257,0.06427760237730996,1.2176012677209378,0.2370202197775307,1.905522739992235,0.8372333420609832,
chronos_bolt,aapl,0.025,e3,equity_single,2639,65.97500000000001,0.034861690034103825,9.396459086770278,0.0021740491452474594,0.0024997500249975004,9.591798417041787,0.008263564818011979,0.005599440055994401,0.02230054212471742,0.12592322281194163,1.2952123248676635,0.15945981978667179,1.599743492251884,0.5052399860898347,
chronos_bolt,aapl,0.05,e3,equity_single,2639,131.95000000000002,0.06555513452065176,12.296356328963839,0.0004538434369453858,0.0014998500149985001,14.268112647383532,0.0007974779889955302,0.0014998500149985001,3.3596145373732625e-05,0.20489514550475665,1.3403062817002167,0.1166807886178135,1.3688778342095032,0.38869248188422123,
chronos_2,aapl,0.01,e0,equity_single,2639,26.39,0.014399393709738537,4.541346183555731,0.03308556283514009,0.036996300369963,4.852386989978527,0.0883725838407454,0.06329367063293671,0.18545159821742882,0.06490940858888282,1.2522836939341617,0.24377155660790625,,,
chronos_2,aapl,0.025,e0,equity_single,2639,65.97500000000001,0.019704433497536946,3.270421037004155,0.07053951751348862,0.0827917208279172,4.032114528287082,0.13317952297088637,0.1606839316068393,0.2988329382638466,0.12822152444987947,1.2717649902705235,0.15657310563367008,,,
chronos_2,aapl,0.05,e0,equity_single,2639,131.95000000000002,0.05229253505115574,0.2878633161240032,0.5915930322148518,0.5909409059094091,2.218467883911444,0.3298115190930842,0.35166483351664835,0.18008730909626938,0.20439655346567887,1.331637847043246,0.1159261552883522,,,
chronos_2,aapl,0.01,e1,equity_single,2639,26.39,0.04281924971580144,158.37845403316737,2.5582769331204353e-36,9.999000099990002e-05,159.31277340206736,2.544900502002583e-35,9.999000099990002e-05,6.158476768248214e-65,0.0832892969041366,1.3143465584119995,0.25585281355838085,2.8708663651864774,4.569038106158516,
chronos_2,aapl,0.025,e1,equity_single,2639,65.97500000000001,0.06176582038651004,104.51417317762525,1.5607299248189437e-24,9.999000099990002e-05,104.91228345887316,1.6541965280873014e-23,9.999000099990002e-05,7.099235222725356e-32,0.14019230942656213,1.3231012123109867,0.1628933548761541,2.026386716365711,2.2384034440969343,
chronos_2,aapl,0.05,e1,equity_single,2639,131.95000000000002,0.08829101932550208,67.00357949073668,2.71014600270808e-16,9.999000099990002e-05,69.23661541154729,9.235491023965089e-16,9.999000099990002e-05,2.1659700901769113e-18,0.2129926186679907,1.3218317348043087,0.11507248107602026,1.5805011275863743,1.3080936454071326,
chronos_2,aapl,0.01,e2,equity_single,2639,26.39,0.011367942402425162,0.4777243214901432,0.48945491763019644,0.49535046495350465,1.3404802857195932,0.5115857093788662,0.45815418458154183,0.21266564920142528,0.06461996768623789,1.2246848528226182,0.23839912183859355,1.856886719422161,0.10509429168518536,
chronos_2,aapl,0.025,e2,equity_single,2639,65.97500000000001,0.03334596438044714,6.8377975030416565,0.008924881163336262,0.010198980101989802,8.137071890980792,0.017102409046388652,0.013398660133986601,0.0004939461953780343,0.12668449958518688,1.2680165709319582,0.15611161969755255,1.5941776650293076,0.26171684846308163,
chronos_2,aapl,0.05,e2,equity_single,2639,131.95000000000002,0.058734369079196665,4.023212588649358,0.04487815078018241,0.051594840515948405,7.70446834423592,0.021232246914188194,0.0230976902309769,0.0047201448357157665,0.20421040222334563,1.3143699874208294,0.11442289629002132,1.3612159837049658,0.16191403474464283,
