model,asset,alpha,arm,in_mcs,mcs_p,n
chronos_bolt,btc,0.025,F4,True,0.4374,2808
chronos_bolt,btc,0.025,garch_evt,True,0.4374,2808
chronos_bolt,btc,0.025,fhs,True,0.4374,2808
chronos_bolt,btc,0.05,F1,True,0.2458,2808
chronos_bolt,btc,0.05,H,True,0.2458,2808
chronos_bolt,btc,0.05,F2,True,0.2458,2808
chronos_bolt,btc,0.05,F3,True,0.2458,2808
chronos_bolt,btc,0.05,F4,True,0.2458,2808
chronos_bolt,btc,0.05,garch_evt,True,0.2458,2808
chronos_bolt,btc,0.05,fhs,True,0.2458,2808
chronos_bolt,copper,0.01,F1,True,0.7976,2105
chronos_bolt,copper,0.01,H,True,0.7976,2105
chronos_bolt,copper,0.01,F2,True,0.7976,2105
chronos_bolt,copper,0.01,F3,True,0.7976,2105
chronos_bolt,copper,0.01,F4,True,0.7976,2105
chronos_bolt,copper,0.01,garch_evt,True,0.7976,2105
chronos_bolt,copper,0.01,fhs,True,0.7976,2105
chronos_bolt,copper,0.025,F1,True,0.3384,2139
chronos_bolt,copper,0.025,H,True,0.3384,2139
chronos_bolt,copper,0.025,F2,True,0.3384,2139
chronos_bolt,copper,0.025,F3,True,0.3384,2139
chronos_bolt,copper,0.025,F4,True,0.3384,2139
chronos_bolt,copper,0.025,garch_evt,True,0.3384,2139
chronos_bolt,copper,0.025,fhs,True,0.3384,2139
chronos_bolt,copper,0.05,F1,True,0.3084,2140
chronos_bolt,copper,0.05,H,True,0.3084,2140
chronos_bolt,copper,0.05,F2,True,0.3084,2140
chronos_bolt,copper,0.05,F3,True,0.3084,2140
chronos_bolt,copper,0.05,F4,True,0.3084,2140
chronos_bolt,copper,0.05,garch_evt,True,0.3084,2140
chronos_bolt,copper,0.05,fhs,True,0.3084,2140
chronos_bolt,csi300,0.01,F1,True,0.1222,1678
chronos_bolt,csi300,0.01,H,True,0.1222,1678
chronos_bolt,csi300,0.01,F2,True,0.1222,1678
chronos_bolt,csi300,0.01,F3,False,0.0472,1678
chronos_bolt,csi300,0.01,F4,True,0.1222,1678
chronos_bolt,csi300,0.01,garch_evt,True,0.1222,1678
chronos_bolt,csi300,0.01,fhs,True,0.1222,1678
chronos_bolt,csi300,0.025,F1,True,0.1996,1680
chronos_bolt,csi300,0.025,H,True,0.1996,1680
chronos_bolt,csi300,0.025,F2,True,0.1996,1680
chronos_bolt,csi300,0.025,F3,True,0.1996,1680
chronos_bolt,csi300,0.025,F4,False,0.0988,1680
chronos_bolt,csi300,0.025,garch_evt,True,0.1996,1680
chronos_bolt,csi300,0.025,fhs,True,0.1996,1680
chronos_bolt,csi300,0.05,F1,True,0.2084,1680
chronos_bolt,csi300,0.05,H,True,0.2084,1680
chronos_bolt,csi300,0.05,F2,True,0.2084,1680
chronos_bolt,csi300,0.05,F3,True,0.2084,1680
chronos_bolt,csi300,0.05,F4,True,0.2084,1680
chronos_bolt,csi300,0.05,garch_evt,True,0.2084,1680
chronos_bolt,csi300,0.05,fhs,True,0.2084,1680
chronos_bolt,dax,0.01,F1,True,0.2156,2149
chronos_bolt,dax,0.01,H,True,0.2156,2149
chronos_bolt,dax,0.01,F2,True,0.2156,2149
chronos_bolt,dax,0.01,F3,False,0.0404,2149
chronos_bolt,dax,0.01,F4,True,0.2156,2149
chronos_bolt,dax,0.01,garch_evt,True,0.2156,2149
chronos_bolt,dax,0.01,fhs,True,0.2156,2149
chronos_bolt,dax,0.025,F1,True,0.2034,2151
chronos_bolt,dax,0.025,H,True,0.2034,2151
chronos_bolt,dax,0.025,F2,True,0.2034,2151
chronos_bolt,dax,0.025,F3,False,0.076,2151
chronos_bolt,dax,0.025,F4,False,0.0866,2151
chronos_bolt,dax,0.025,garch_evt,True,0.2034,2151
chronos_bolt,dax,0.025,fhs,True,0.2034,2151
chronos_bolt,dax,0.05,F1,True,0.1666,2160
chronos_bolt,dax,0.05,H,True,0.1666,2160
chronos_bolt,dax,0.05,F2,True,0.1666,2160
chronos_bolt,dax,0.05,F3,True,0.1666,2160
chronos_bolt,dax,0.05,F4,True,0.1666,2160
chronos_bolt,dax,0.05,garch_evt,True,0.1666,2160
chronos_bolt,dax,0.05,fhs,True,0.1666,2160
chronos_bolt,dgs10,0.01,F1,True,0.4822,2124
chronos_bolt,dgs10,0.01,H,True,0.4822,2124
chronos_bolt,dgs10,0.01,F2,True,0.4822,2124
chronos_bolt,dgs10,0.01,F3,True,0.4822,2124
chronos_bolt,dgs10,0.01,F4,True,0.4822,2124
chronos_bolt,dgs10,0.01,garch_evt,True,0.4822,2124
chronos_bolt,dgs10,0.01,fhs,True,0.4822,2124
chronos_bolt,dgs10,0.025,F1,True,0.69,2124
chronos_bolt,dgs10,0.025,H,True,0.69,2124
chronos_bolt,dgs10,0.025,F2,True,0.69,2124
chronos_bolt,dgs10,0.025,F3,True,0.69,2124
chronos_bolt,dgs10,0.025,F4,True,0.69,2124
chronos_bolt,dgs10,0.025,garch_evt,True,0.69,2124
chronos_bolt,dgs10,0.025,fhs,True,0.69,2124
chronos_bolt,dgs10,0.05,F1,True,0.628,2124
chronos_bolt,dgs10,0.05,H,True,0.628,2124
chronos_bolt,dgs10,0.05,F2,True,0.628,2124
chronos_bolt,dgs10,0.05,F3,True,0.628,2124
chronos_bolt,dgs10,0.05,F4,True,0.628,2124
chronos_bolt,dgs10,0.05,garch_evt,True,0.628,2124
chronos_bolt,dgs10,0.05,fhs,True,0.628,2124
chronos_bolt,dgs2,0.01,F1,True,0.3938,2102
chronos_bolt,dgs2,0.01,H,True,0.3938,2102
chronos_bolt,dgs2,0.01,F2,True,0.3938,2102
chronos_bolt,dgs2,0.01,F3,True,0.3938,2102
chronos_bolt,dgs2,0.01,F4,True,0.3938,2102
chronos_bolt,dgs2,0.01,garch_evt,True,0.3938,2102
chronos_bolt,dgs2,0.01,fhs,True,0.3938,2102
chronos_bolt,dgs2,0.025,F1,True,0.337,2098
chronos_bolt,dgs2,0.025,H,True,0.337,2098
chronos_bolt,dgs2,0.025,F2,True,0.337,2098
chronos_bolt,dgs2,0.025,F3,True,0.337,2098
chronos_bolt,dgs2,0.025,F4,True,0.337,2098
chronos_bolt,dgs2,0.025,garch_evt,True,0.337,2098
chronos_bolt,dgs2,0.025,fhs,True,0.337,2098
chronos_bolt,dgs2,0.05,F1,True,0.125,2102
chronos_bolt,dgs2,0.05,H,True,0.125,2102
chronos_bolt,dgs2,0.05,F2,True,0.125,2102
chronos_bolt,dgs2,0.05,F3,False,0.0554,2102
chronos_bolt,dgs2,0.05,F4,True,0.125,2102
chronos_bolt,dgs2,0.05,garch_evt,True,0.125,2102
chronos_bolt,dgs2,0.05,fhs,True,0.125,2102
chronos_bolt,dgs30,0.01,F1,True,0.3742,2041
chronos_bolt,dgs30,0.01,H,True,0.3742,2041
chronos_bolt,dgs30,0.01,F2,False,0.0358,2041
chronos_bolt,dgs30,0.01,F3,False,0.0092,2041
chronos_bolt,dgs30,0.01,F4,False,0.0358,2041
chronos_bolt,dgs30,0.01,garch_evt,True,0.3742,2041
chronos_bolt,dgs30,0.01,fhs,True,0.3742,2041
chronos_bolt,dgs30,0.025,F1,True,0.5636,2052
chronos_bolt,dgs30,0.025,H,True,0.5636,2052
chronos_bolt,dgs30,0.025,F2,False,0.0286,2052
chronos_bolt,dgs30,0.025,F3,False,0.0122,2052
chronos_bolt,dgs30,0.025,F4,False,0.016,2052
chronos_bolt,dgs30,0.025,garch_evt,True,0.5636,2052
chronos_bolt,dgs30,0.025,fhs,True,0.5636,2052
chronos_bolt,dgs30,0.05,F1,True,0.2258,2064
chronos_bolt,dgs30,0.05,H,True,0.2258,2064
chronos_bolt,dgs30,0.05,F2,False,0.0076,2064
chronos_bolt,dgs30,0.05,F3,False,0.0004,2064
chronos_bolt,dgs30,0.05,F4,False,0.0008,2064
chronos_bolt,dgs30,0.05,garch_evt,True,0.2258,2064
chronos_bolt,dgs30,0.05,fhs,True,0.2258,2064
chronos_bolt,dgs5,0.01,F1,True,0.9152,2125
chronos_bolt,dgs5,0.01,H,True,0.9152,2125
chronos_bolt,dgs5,0.01,F2,True,0.9152,2125
chronos_bolt,dgs5,0.01,F3,True,0.9152,2125
chronos_bolt,dgs5,0.01,F4,True,0.9152,2125
chronos_bolt,dgs5,0.01,garch_evt,True,0.9152,2125
chronos_bolt,dgs5,0.01,fhs,True,0.9152,2125
chronos_bolt,dgs5,0.025,F1,True,0.8796,2125
chronos_bolt,dgs5,0.025,H,True,0.8796,2125
chronos_bolt,dgs5,0.025,F2,True,0.8796,2125
chronos_bolt,dgs5,0.025,F3,True,0.8796,2125
chronos_bolt,dgs5,0.025,F4,True,0.8796,2125
chronos_bolt,dgs5,0.025,garch_evt,True,0.8796,2125
chronos_bolt,dgs5,0.025,fhs,True,0.8796,2125
chronos_bolt,dgs5,0.05,F1,True,0.2388,2125
chronos_bolt,dgs5,0.05,H,True,0.2388,2125
chronos_bolt,dgs5,0.05,F2,True,0.2388,2125
chronos_bolt,dgs5,0.05,F3,True,0.2388,2125
chronos_bolt,dgs5,0.05,F4,True,0.2388,2125
chronos_bolt,dgs5,0.05,garch_evt,True,0.2388,2125
chronos_bolt,dgs5,0.05,fhs,True,0.2388,2125
chronos_bolt,eth,0.01,F1,True,0.1164,1658
chronos_bolt,eth,0.01,H,True,0.1164,1658
chronos_bolt,eth,0.01,F2,True,0.1164,1658
chronos_bolt,eth,0.01,F3,False,0.098,1658
chronos_bolt,eth,0.01,F4,True,0.1164,1658
chronos_bolt,eth,0.01,garch_evt,True,0.1164,1658
chronos_bolt,eth,0.01,fhs,True,0.1164,1658
chronos_bolt,eth,0.025,F1,True,0.54,1659
chronos_bolt,eth,0.025,H,True,0.54,1659
chronos_bolt,eth,0.025,F2,True,0.54,1659
chronos_bolt,eth,0.025,F3,True,0.54,1659
chronos_bolt,eth,0.025,F4,True,0.54,1659
chronos_bolt,eth,0.025,garch_evt,True,0.54,1659
chronos_bolt,eth,0.025,fhs,True,0.54,1659
chronos_bolt,eth,0.05,F1,True,0.8734,1659
chronos_bolt,eth,0.05,H,True,0.8734,1659
chronos_bolt,eth,0.05,F2,True,0.8734,1659
chronos_bolt,eth,0.05,F3,True,0.8734,1659
chronos_bolt,eth,0.05,F4,True,0.8734,1659
chronos_bolt,eth,0.05,garch_evt,True,0.8734,1659
chronos_bolt,eth,0.05,fhs,True,0.8734,1659
chronos_bolt,ftse,0.01,F1,True,0.121,2152
chronos_bolt,ftse,0.01,H,True,0.121,2152
