head,n_assets,scale_mean,loc_mean,loo_scale_min,loo_scale_max,loo_loc_min,loo_loc_max,unclustered_scale_lo,unclustered_scale_hi,unclustered_loc_lo,unclustered_loc_hi
chronos_2,32,0.026599253935516338,0.0038147468544118164,0.010601358644815831,0.03384963656219286,0.0003995664720137674,0.006241994359412496,0.007211485671820661,0.047250962450412146,-0.002685925888227122,0.010406612947236434
moirai_2_0,32,0.04827699386575181,0.003983817360214456,0.036603393750448264,0.05870650982523532,0.0019020678658950771,0.005691454797880913,0.029304418292479577,0.06891478967259705,-0.0013472015849744277,0.009554071281764855
lag_llama,32,0.1520295139685223,0.009006083917428588,0.1388739091547087,0.1597317160910567,0.0062050686108771624,0.013434301468127257,0.12321997588511531,0.18092597705160407,0.00149951145994315,0.01708539816215128
chronos_bolt,32,0.03422551539604364,0.00272239327895806,0.020120077995864818,0.040120277120754784,0.0005827133526667855,0.003980724648916322,0.01821763571898272,0.05134048973437557,-0.0014425775606894777,0.007617635317092579
timesfm_2_5,32,0.052491119901919125,0.0028385095401471747,0.036910130912508304,0.06412396957508738,-0.0011962944298302433,0.005612055293236696,0.03286046563431899,0.07342813268862783,-0.005119569134814011,0.011147817754277872
